"Property Title","Property URL","Price (INR)","Price Per Sqft (INR)","Area (sqft)","Property Type","Locality","Highlights","Description","Posted By"
"Ready to move Office Space for sale in Netaji Subhash Place, Delhi","https://www.99acres.com/ready-to-move-office-space-for-sale-in-netaji-subhash-place-north-delhi-445-sq-ft-r3-spid-M76505543","11500000","38333","300","Office Space","Netaji Subhash Place, Delhi, North Delhi","Haldiram Nearby
Fresh Construction
+1","Fully furnished office available on sale in prime building in netaji subhash place. Freehold and registry Vastu compliance and east facing office This office has 2 cabin 5 workstation with pantry, washroom We have options for sale from 300- 3000 sqft Images are same, similar or conceptual as per listing Car bike parking available Food joints , banks , atm are walk able distance Metro and bus at...","Mohan Estate"
"Ready to move Office Space for sale in Netaji Subhash Place, Delhi","https://www.99acres.com/ready-to-move-office-space-for-sale-in-netaji-subhash-place-north-delhi-725-sq-ft-r3-spid-I76300081","15500000","31000","500","Office Space","Netaji Subhash Place, Delhi, North Delhi","Red line metro station Nearby
Fresh Construction
+2","New like fully furnished office available on lease in prime building in netaji subhash place. Freehold and registry deal Vastu compliance and east facing office This office has 2 cabin 12 workstation with pantry, washroom Free of charge balcony of 150 sqft approx We have options from 400- 3000 sqft with workstation and cabins as per your requirement Images are same, similar or conceptual as per...","Mohan Estate"
"Showroom for sale in Vasant Kunj, Delhi","https://www.99acres.com/showroom-for-sale-in-vasant-kunj-south-delhi-1500-sq-ft-r1-spid-S77795635","90000000","75000","1200","Showroom","Vasant Kunj, Delhi, South Delhi","","Available is commercial property in sultanpur on main road with semi furnished and all connectivity Additional details :","perfect sapphire"
"Bare shell Office Space for sale in Jangpura Extension, Delhi","https://www.99acres.com/bare-shell-office-space-for-sale-in-jangpura-extension-south-delhi-242-sq-ft-spid-V81710542","33000000","136363","242","Office Space","Jangpura Extension, Delhi, South Delhi","","Available is commercial office space in jangpura extension with semi furnished and all connectivity Additional details :","NCR Investors"
"Bare shell Office Space for sale in Lajpat Nagar 3, Delhi","https://www.99acres.com/bare-shell-office-space-for-sale-in-lajpat-nagar-3-south-delhi-1800-sq-ft-spid-S81256129","24000000","13333","1800","Office Space","Lajpat Nagar 3, Delhi, South Delhi","LAJPAT NAGAR Nearby
Fresh Construction
+1","New height brand new 3 side corner,park facing basement plot size 200sqyd super area 1800sqft,big hall,pantry with washroom,natural light and air,out side ample car parking walking distance market and metro station,very nice location more details pls cont------ , Additional details : There is 24 hours dedicated security available Separate electricity/water meter is provided for this property. I...","GLOBAL PROPERTY"
"Showroom for sale in Sector 12 Dwarka, Delhi","https://www.99acres.com/showroom-for-sale-in-sector-12-dwarka-delhi-2900-sq-ft-spid-J84223760","82500000","30555","2700","Showroom","Sector 12 Dwarka, Delhi, Delhi South West","East Facing
Recently Renovated
+2","Commercial showrooms freehold 1st floor with lift available for sale. Its very prime location on 30 meter road. There is many bank atm and branded showrooms.","Times Associates"
"Ready to move Office Space for sale in Sector 12 Dwarka, Delhi","https://www.99acres.com/ready-to-move-office-space-for-sale-in-sector-12-dwarka-delhi-3600-sq-ft-spid-O84223442","82500000","30555","2700","Office Space","Sector 12 Dwarka, Delhi, Delhi South West","","Commercial space freehold 1st floor with lift available for sale. Its very prime location on 30 meter road. There is many bank atm and branded showrooms.","Times Associates"
"Ready to move Office Space for sale in Sector 12 Dwarka, Delhi","https://www.99acres.com/ready-to-move-office-space-for-sale-in-sector-12-dwarka-delhi-3600-sq-ft-spid-Q84222932","72500000","26851","2700","Office Space","Sector 12 Dwarka, Delhi, Delhi South West","","Commercial floor freehold 2nd floor with lift available for sale very prime location in sector 12 b block. There is many foot fall.","Times Associates"
"Showroom for sale in Sector 12 Dwarka, Delhi","https://www.99acres.com/showroom-for-sale-in-pratham-city-centre-sector-12-dwarka-delhi-600-sq-ft-r1-spid-S80483333","42500000","85000","500","Showroom","Pratham City Centre","4.59% ROI","Commercial restaurant luxury furnished available for sale. 1st floor with lift and reserved car parking in 2 layer in basement. There is many foot fall and many branded shop and restaurants.","Times Associates"
"Ready to move Office Space for sale in Pocket 6 Sector 12 Dwarka, Delhi","https://www.99acres.com/ready-to-move-office-space-for-sale-in-pocket-6-sector-12-dwarka-dwarka-delhi-350-sq-ft-r1-spid-G80561017","12500000","46296","270","Office Space","Commercial Office","Power Back-up","270 sq ft carpet area office space freehold availale for sale 2nd floor with lift. Neat and clean office and buildeing. Near metro staion of sector 12 is only 5 minutes from walking distance.","Times Associates"
"Bare shell Office Space for sale in Sector 5 Dwarka, Delhi","https://www.99acres.com/bare-shell-office-space-for-sale-in-sector-5-dwarka-delhi-650-sq-ft-r1-spid-W82292986","17000000","26153","500","Office Space","Commercial Office","","Commercial office space freehold available for rent tile flooring main road facing 3rd floor with lift.","Times Associates"
"Shop for sale in Sector 4 Dwarka, Delhi","https://www.99acres.com/shop-for-sale-in-sector-4-dwarka-delhi-260-sq-ft-r1-spid-A82420634","32500000","138888","234","Shop","Sector 4 Dwarka, Delhi, Delhi South West","North Facing
Ground Floor
+2","Commercial shop ground floor size 9x26 available for sale in sector 4 ashirwad chowk dwarka there is many footfall and many branded shop and showrooms","Times Associates"
"Shop for sale in Sector 5 Dwarka, Delhi","https://www.99acres.com/shop-for-sale-in-sector-5-dwarka-delhi-300-sq-ft-r1-spid-Z82431384","32500000","113636","286","Shop","Sector 5 Dwarka, Delhi, Delhi South West","North Facing
Ground Floor
+2","11x26 ground floor shop available for sale in sector 5 ashirwad chowk well maintained market and there is many footfall and many branded shop and showrooms.","Times Associates"
"Shop for sale in Sector 12 Dwarka, Delhi","https://www.99acres.com/shop-for-sale-in-sector-12-dwarka-delhi-300-sq-ft-r1-spid-Z82431626","32500000","113636","286","Shop","Sector 12 Dwarka, Delhi, Delhi South West","Ground Floor
Recently Renovated
+1","11x26 ground floor shop available for sale in sector 12 dwarka km chowk well maintained market and there is many footfall and many branded shop and showrooms.","Times Associates"
"Ready to move Office Space for sale in Sector 4 Dwarka, Delhi","https://www.99acres.com/ready-to-move-office-space-for-sale-in-sector-4-dwarka-delhi-2200-sq-ft-r1-spid-F81175553","65000000","36111","1800","Office Space","Commercial Office","4.2% ROI","2000 sq ft commercial office space available for sale 1st floor with lift in sector 4 dwarka. There is many branded shop and showrooms so there is many footfall.","Times Associates"
"Commercial plot / Land for sale in Sector 13 Dwarka, Delhi","https://www.99acres.com/commercial-institutional-land-for-sale-in-sector-13-dwarka-delhi-400-sq-yard-r1-spid-C82173174","310000000","86111","3600","Industrial Land","Sector 13 Dwarka, Delhi, Delhi South West","","4yd commercial plot freehold from dda available for sale. There is many foot fall area and metro station of dwarka sector 13 is only 5 minutes from walking distance.","Times Associates"
"Showroom for sale in Sector 11 Dwarka, Delhi","https://www.99acres.com/showroom-for-sale-in-sector-11-dwarka-delhi-800-sq-ft-spid-N83530892","115000000","164285","700","Showroom","Sector 11 Dwarka, Delhi, Delhi South West","North-East Facing","Very prime location commercial freehold retail shop/showroom ground floor available for sale.","Times Associates"
"Showroom for sale in Sector 11 Dwarka, Delhi","https://www.99acres.com/showroom-for-sale-in-sector-11-dwarka-delhi-390-sq-ft-spid-H83530720","55000000","161764","340","Showroom","Sector 11 Dwarka, Delhi, Delhi South West","North-East Facing","Commercial freehol retail shop showrooms very prime location available for sale in sector 11 dwarka new delhi.","Times Associates"
"Shop for sale in Sector 4 Dwarka, Delhi","https://www.99acres.com/shop-for-sale-in-sector-4-dwarka-delhi-525-sq-ft-spid-I83470544","65000000","135135","481","Shop","Sector 4 Dwarka, Delhi, Delhi South West","North Facing
Ground Floor
+2","Commercial shop prime location ground floor available for sale 18.5x26 main ashirwad chowk sector4 dwarka.","Times Associates"
"Bare shell Office Space for sale in Block A Sector-12 Dwarka, Delhi","https://www.99acres.com/bare-shell-office-space-for-sale-in-block-a-sector-12-dwarka-dwarka-delhi-2250-sq-ft-r1-spid-C80951333","50000000","22222","1650","Office Space","Block A Sector-12 Dwarka, Delhi, Delhi South West","Fresh Construction","Commercial office space freehold available for sale on 20 meter road in sector 12 a block dwarka. There is many types of bank showrooms and atm and departmental store.","Times Associates"
"Ready to move Office Space for sale in Sector 12 Dwarka, Delhi","https://www.99acres.com/ready-to-move-office-space-for-sale-in-sector-12-dwarka-delhi-250-sq-ft-r1-spid-A81071179","6000000","30303","198","Office Space","Commercial Office","","Beautiful very prime location freehold commercial office space 2nd floor available for sale. 11x18 in sector 12 dwarka new delhi","Times Associates"
"Ready to move Office Space for sale in Sector 13 Dwarka, Delhi","https://www.99acres.com/ready-to-move-office-space-for-sale-in-sector-13-dwarka-delhi-2350-sq-ft-r1-spid-B80153467","27000000","13500","2000","Office Space","Commercial Office","5.55% ROI","Beautiful fully furnished office space available for sale in basment its freehlol. There is many tupes of office . And metro staion of sector -13 is only 5 minutes from walking distance.","Times Associates"
"(24 sq.ft.) Shop for sale in Chandni Chowk, Delhi","https://www.99acres.com/shop-for-sale-in-omaxe-chandni-chowk-chandni-chowk-central-delhi-25-sq-ft-spid-W83225600","3750000","150000","24","Shop","Chandni Chowk, Delhi","7.0% ROI","A modern-Day commercial shop in chandni chowk, central delhi is readily available for sale. You can find this commercial property located in the mall. The carpet area of the property is 24 sq.Ft. The property has public washrooms and public, private, multilevel parking. The shop dimensions are 10.0 sq.Ft. X 14.0 sq.Ft. The shop is ready to move and is aged 0-1 year. The property is suitable for...","INTELLECTUAL ADVANCE SERVICES INFRA"
"(3800 sq.ft.) Ready to move Office Space for sale in Connaught Place, Delhi","https://www.99acres.com/ready-to-move-office-space-for-sale-in-connaught-place-central-delhi-4500-sq-ft-r2-spid-A77956139","150000000","39473","3800","Office Space","Connaught Place, Delhi","Close to Metro Station
Close to School
+2","North east facing 4500 sq feet super available for sale in main outer circle main road facing good furnishing and if you go to rental income rs 12 lakh is coming rent is give you. More details please call me.","Dubey Estate Agency"
"(5000 sq.ft.) Showroom for sale in East of Kailash, Delhi","https://www.99acres.com/showroom-for-sale-in-east-of-kailash-south-delhi-6000-sq-ft-spid-W83882750","150000000","30000","5000","Showroom","East of Kailash, Delhi","North-East Facing
Kailash Colony Metro Nearby
+1","Located in the prime commercial hub of east of kailash, this brand new fully commercial duplex property offers 6000 sq. Ft. Super area and 5000 sq. Ft. Carpet area, spread across the basement and ground floors. Ideal for showroom or office use, this commercial space comes semi-Furnished with 7 acs installed, a private lift, and excellent frontage for visibility. It includes 3 separate covered c...","ARUN PROPERTIES"
"(300 sq.ft.) Ready to move Office Space for sale in Netaji Subhash Place, Delhi","https://www.99acres.com/ready-to-move-office-space-for-sale-in-netaji-subhash-place-north-delhi-445-sq-ft-r3-spid-M76505543","11500000","38333","300","Office Space","Netaji Subhash Place, Delhi","Haldiram Nearby
Fresh Construction
+1","Fully furnished office available on sale in prime building in netaji subhash place. Freehold and registry Vastu compliance and east facing office This office has 2 cabin 5 workstation with pantry, washroom We have options for sale from 300- 3000 sqft Images are same, similar or conceptual as per listing Car bike parking available Food joints , banks , atm are walk able distance Metro and bus at...","Mohan Estate"
"(500 sq.ft.) Ready to move Office Space for sale in Netaji Subhash Place, Delhi","https://www.99acres.com/ready-to-move-office-space-for-sale-in-netaji-subhash-place-north-delhi-725-sq-ft-r3-spid-I76300081","15500000","31000","500","Office Space","Netaji Subhash Place, Delhi","Red line metro station Nearby
Fresh Construction
+2","New like fully furnished office available on lease in prime building in netaji subhash place. Freehold and registry deal Vastu compliance and east facing office This office has 2 cabin 12 workstation with pantry, washroom Free of charge balcony of 150 sqft approx We have options from 400- 3000 sqft with workstation and cabins as per your requirement Images are same, similar or conceptual as per...","Mohan Estate"
"(1200 sq.ft.) Showroom for sale in Vasant Kunj, Delhi","https://www.99acres.com/showroom-for-sale-in-vasant-kunj-south-delhi-1500-sq-ft-r1-spid-S77795635","90000000","75000","1200","Showroom","Vasant Kunj, Delhi","","Available is commercial property in sultanpur on main road with semi furnished and all connectivity Additional details :","perfect sapphire"
"(242 sq.ft.) Bare shell Office Space for sale in Jangpura Extension, Delhi","https://www.99acres.com/bare-shell-office-space-for-sale-in-jangpura-extension-south-delhi-242-sq-ft-spid-V81710542","33000000","136363","242","Office Space","Jangpura Extension, Delhi","","Available is commercial office space in jangpura extension with semi furnished and all connectivity Additional details :","NCR Investors"
"(1800 sq.ft.) Bare shell Office Space for sale in Lajpat Nagar 3, Delhi","https://www.99acres.com/bare-shell-office-space-for-sale-in-lajpat-nagar-3-south-delhi-1800-sq-ft-spid-S81256129","24000000","13333","1800","Office Space","Lajpat Nagar 3, Delhi","LAJPAT NAGAR Nearby
Fresh Construction
+1","New height brand new 3 side corner,park facing basement plot size 200sqyd super area 1800sqft,big hall,pantry with washroom,natural light and air,out side ample car parking walking distance market and metro station,very nice location more details pls cont------ , Additional details : There is 24 hours dedicated security available Separate electricity/water meter is provided for this property. I...","GLOBAL PROPERTY"
"(2700 sq.ft.) Showroom for sale in Sector 12 Dwarka, Delhi","https://www.99acres.com/showroom-for-sale-in-sector-12-dwarka-delhi-2900-sq-ft-spid-J84223760","82500000","30555","2700","Showroom","Sector 12 Dwarka, Delhi","East Facing
Recently Renovated
+2","Commercial showrooms freehold 1st floor with lift available for sale. Its very prime location on 30 meter road. There is many bank atm and branded showrooms.","Times Associates"
"(2700 sq.ft.) Ready to move Office Space for sale in Sector 12 Dwarka, Delhi","https://www.99acres.com/ready-to-move-office-space-for-sale-in-sector-12-dwarka-delhi-3600-sq-ft-spid-O84223442","82500000","30555","2700","Office Space","Sector 12 Dwarka, Delhi","","Commercial space freehold 1st floor with lift available for sale. Its very prime location on 30 meter road. There is many bank atm and branded showrooms.","Times Associates"
"KW Blue Pearl","https://www.99acres.com/kw-blue-pearl-resale-in-karol-bagh-central-delhi-497127-cffid","3300000","","","Shop","Karol Bagh, Delhi","","",""
"The Omaxe State","https://www.99acres.com/the-omaxe-state-sector-19b-dwarka-delhi-npxid-c428729","6600000","","","Shop","Sector 19B Dwarka, Delhi","","",""
"Migsun Rohini Central","https://www.99acres.com/migsun-rohini-central-sector-22-rohini-north-delhi-npxid-c421344","4500000","","","Shop","Sector 22 Rohini, Delhi","","",""
"Omaxe Chandni Chowk","https://www.99acres.com/commercial-property-in-chandni-chowk-central-delhi-ffid","11900000","","","Shop","Chandni Chowk, Delhi","","",""
