Property_Type,Transaction_Type,Location,latitude,longitude,Price,Area_sqft,Price_per_sqft,area_type,Construction_Status,Age_in_Years,Possession_Date,Furnishing_Status,Zoning,Facing,Overlooking,Pantry,Water_Availability_Status,Washrooms,Floor_Number,Total_Floors,Covered_Parking,Open_Parking,Open_Sides,Plot_Length,Plot_Breadth,Entrance_Width_ft,Road_Width_m
office space,sale,greater noida west noida,28.5642539,77.4739447,3000000.0,440.0,6818.18,Super Area,Ready to Move,0.0,Not Specified,Unfurnished,Not Specified,Not Specified,Not Specified,Wet Pantry/Cafeteria,NotSpecified,2.0,2.0,2.0,0,0,1.0,40.0,85.0,12.0,24.0
industrial shed,sale,noida express way noida,28.5706333,77.3272147,67500000.0,4843.76,13935.46,Super Area,Ready to Move,7.5,Not Specified,Not Specified,Industrial,Not Specified,Not Specified,Not Specified,NotSpecified,2.0,1.0,4.0,0,0,1.0,40.0,85.0,12.0,24.0
office space,sale,phase 1 udyog vihar gurgaon,28.5048174,77.0839702,3500000000.0,400000.0,8750.0,Super Area,Ready to Move,-1.0,Not Specified,Not Specified,Not Specified,Not Specified,Garden/Park,Wet Pantry/Cafeteria,NotSpecified,10.0,1.0,4.0,600,0,1.0,40.0,85.0,12.0,24.0
industrial building,sale,sector 63 noida,28.620768,77.381494,75000000.0,10000.0,7500.0,Super Area,Ready to Move,2.5,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,NotSpecified,2.0,1.0,4.0,0,0,1.0,40.0,85.0,12.0,24.0
office space,sale,sector 22 dwarka new delhi,28.5579591,77.0580701,4500000.0,168.0,26785.71,Super Area,Ready to Move,-1.0,Not Specified,Unfurnished,Not Specified,East,Main Road,Not Specified,NotSpecified,2.0,1.0,4.0,0,0,1.0,40.0,85.0,12.0,24.0
industrial land,sale,phase 5 udyog vihar gurgaon,28.5048174,77.0839702,120000000.0,3402.0,35273.37,Plot Area,Ready to Move,-1.0,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,NotSpecified,2.0,1.0,4.0,0,0,1.0,40.0,85.0,12.0,24.0
shop,sale,sector 65 gurgaon,28.4030162,77.0695893,10000000.0,535.0,18691.59,Super Area,Ready to Move,2.5,Not Specified,Furnished,Not Specified,Not Specified,Not Specified,Not Specified,NotSpecified,2.0,2.0,22.0,0,0,1.0,40.0,85.0,12.0,24.0
shop,sale,sector 43 gurgaon,28.4548735,77.0858864,5500000.0,200.0,27500.0,Super Area,Ready to Move,-1.0,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,NotSpecified,2.0,0.0,1.0,0,0,1.0,40.0,85.0,12.0,24.0
office space,sale,sector 67 gurgaon,28.3864052,77.0598046,3400000.0,210.0,16190.48,Carpet Area,Ready to Move,0.0,Not Specified,Unfurnished,Not Specified,Not Specified,Not Specified,Not Specified,NotSpecified,1.0,11.0,12.0,0,0,1.0,40.0,85.0,12.0,24.0
shop,sale,sector 143 faridabad,28.3209245,77.2981096,5600000.0,187.0,29946.52,Carpet Area,Ready to Move,0.0,Not Specified,Unfurnished,Not Specified,Not Specified,Not Specified,Not Specified,NotSpecified,2.0,1.0,3.0,0,0,1.0,40.0,85.0,11.0,24.0
industrial building,sale,sector 4 noida,28.5836826,77.3229658,88500000.0,4400.0,20113.64,Super Area,Ready to Move,7.5,Not Specified,Not Specified,Industrial,Not Specified,Not Specified,Not Specified,NotSpecified,2.0,1.0,4.0,0,0,1.0,40.0,85.0,12.0,24.0
office space,sale,noida sector 18 metro noida,28.5705631,77.3266184,13500000.0,662.0,20392.75,Carpet Area,Ready to Move,-1.0,Not Specified,Not Specified,Not Specified,Not Specified,Main Road,Wet Pantry/Cafeteria,NotSpecified,2.0,1.0,4.0,0,2,1.0,40.0,85.0,12.0,24.0
shop,sale,dadri road noida,28.5566273,77.3257596,17400000.0,184.0,94565.22,Carpet Area,Ready to Move,0.0,Not Specified,Unfurnished,Not Specified,Not Specified,Not Specified,Not Specified,NotSpecified,2.0,0.0,1.0,0,0,1.0,40.0,85.0,20.0,24.0
industrial land,sale,rohini new delhi,28.719436,77.0672351,85000000.0,4725.0,17989.42,Plot Area,Ready to Move,-1.0,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,NotSpecified,2.0,1.0,4.0,0,0,1.0,40.0,85.0,12.0,24.0
industrial building,sale,block b sector 4 noida,28.4707522,77.5319152,750000000.0,8000.0,93750.0,Super Area,Ready to Move,7.5,Not Specified,Not Specified,Industrial,Not Specified,Not Specified,Not Specified,NotSpecified,2.0,1.0,4.0,0,0,1.0,40.0,85.0,12.0,24.0
office space,sale,noida extension greater noida,28.5706333,77.3272147,6090000.0,1107.0,5501.36,Super Area,Under Construction,-1.0,Jun '26,Not Specified,Not Specified,Not Specified,Pool,Dry Pantry/Cafeteria,NotSpecified,4.0,12.0,32.0,0,0,1.0,40.0,85.0,12.0,24.0
shop,sale,sohna gurgaon,28.3241636,77.0848644,9000000.0,510.0,17647.06,Carpet Area,Ready to Move,12.5,Not Specified,Unfurnished,Not Specified,Not Specified,Not Specified,Not Specified,NotSpecified,2.0,1.0,6.0,0,0,1.0,40.0,85.0,15.0,24.0
land,sale,noida express way noida,28.5706333,77.3272147,70000000.0,3150.0,22222.22,Plot Area,Ready to Move,-1.0,Not Specified,Not Specified,Commercial,North - East,Not Specified,Not Specified,NotSpecified,2.0,1.0,4.0,0,0,1.0,19.8,159.0,12.0,24.0
office in it park/ sez,sale,noida express way noida,28.5706333,77.3272147,10000000.0,600.0,16666.67,Carpet Area,Ready to Move,-1.0,Not Specified,Not Specified,Not Specified,East,Not Specified,Dry Pantry/Cafeteria,NotSpecified,2.0,1.0,4.0,1,0,1.0,40.0,85.0,12.0,24.0
office space,sale,sector 48 gurgaon,28.4104903,77.0394627,10000000.0,800.0,12500.0,Carpet Area,Ready to Move,-1.0,Not Specified,Not Specified,Not Specified,East,Not Specified,Wet Pantry/Cafeteria,NotSpecified,9.0,1.0,4.0,0,6,1.0,40.0,85.0,12.0,24.0
land,sale,noida express way noida,28.5706333,77.3272147,10200000.0,4306.0,2368.79,Plot Area,Ready to Move,-1.0,Not Specified,Not Specified,Not Specified,North - East,Not Specified,Not Specified,NotSpecified,2.0,1.0,4.0,0,0,1.0,98.4,43.7,12.0,24.0
office space,sale,sector 49 gurgaon,28.4128851,77.0498362,8800000.0,1200.0,7333.33,Carpet Area,Ready to Move,-1.0,Not Specified,Not Specified,Not Specified,East,Not Specified,Wet Pantry/Cafeteria,NotSpecified,6.0,1.0,4.0,2,0,1.0,40.0,85.0,12.0,24.0
shop,sale,splendor onyx noida,28.5706333,77.3272147,900000.0,200.0,4500.0,Carpet Area,Under Construction,-1.0,Jun '27,Semi-Furnished,Not Specified,North - East,Not Specified,Not Specified,NotSpecified,2.0,1.0,19.0,0,0,1.0,40.0,85.0,12.0,24.0
industrial building,sale,b block sector 63 noida,28.6197533,77.3703883,185000000.0,10763.9,17187.08,Super Area,Ready to Move,2.5,Not Specified,Not Specified,Industrial,Not Specified,Not Specified,Not Specified,NotSpecified,2.0,1.0,4.0,0,0,1.0,40.0,85.0,12.0,24.0
office space,sale,okhla phase 1 new delhi,28.5470861,77.3135343,44500000.0,3200.0,13906.25,Carpet Area,Ready to Move,-1.0,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Wet Pantry/Cafeteria,NotSpecified,2.0,4.0,8.0,0,2,1.0,40.0,85.0,12.0,24.0
shop,sale,nai walan new delhi,28.6328027,77.2197713,75000000.0,1700.0,44117.65,Carpet Area,Ready to Move,0.0,Not Specified,Unfurnished,Not Specified,Not Specified,Not Specified,Not Specified,NotSpecified,2.0,0.0,5.0,0,0,1.0,40.0,85.0,8.0,24.0
shop,sale,tigaon faridabad,28.3508902,77.3965287,3000000.0,360.0,8333.33,Super Area,Ready to Move,-1.0,Not Specified,Semi-Furnished,Not Specified,Not Specified,Not Specified,Not Specified,NotSpecified,2.0,0.0,2.0,0,0,1.0,40.0,85.0,12.0,24.0
shop,sale,laxmi nagar new delhi,28.576794,77.2062778,2600000.0,80.0,32500.0,Carpet Area,Ready to Move,2.5,Not Specified,Unfurnished,Not Specified,Not Specified,Not Specified,Not Specified,NotSpecified,2.0,0.0,4.0,0,0,1.0,40.0,85.0,12.0,24.0
land,sale,chander vihar nilothi new delhi,28.6328027,77.2197713,130000.0,625.0,208.0,Plot Area,Ready to Move,-1.0,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,NotSpecified,2.0,1.0,4.0,0,0,1.0,40.0,85.0,12.0,24.0
land,sale,old palam road new delhi,28.5777707,77.1036096,34000000.0,1197.0,28404.34,Plot Area,Ready to Move,-1.0,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,NotSpecified,2.0,1.0,4.0,0,0,1.0,40.0,85.0,12.0,24.0
office space,sale,greater noida west noida,28.5642539,77.4739447,3000000.0,440.0,6818.18,Super Area,Ready to Move,0.0,Not Specified,Unfurnished,Not Specified,Not Specified,Not Specified,Wet Pantry/Cafeteria,NotSpecified,2.0,2.0,2.0,0,0,1.0,40.0,85.0,12.0,24.0
industrial shed,sale,noida express way noida,28.5706333,77.3272147,67500000.0,4843.76,13935.46,Super Area,Ready to Move,7.5,Not Specified,Not Specified,Industrial,Not Specified,Not Specified,Not Specified,NotSpecified,2.0,1.0,4.0,0,0,1.0,40.0,85.0,12.0,24.0
office space,sale,phase 1 udyog vihar gurgaon,28.5048174,77.0839702,3500000000.0,400000.0,8750.0,Super Area,Ready to Move,-1.0,Not Specified,Not Specified,Not Specified,Not Specified,Garden/Park,Wet Pantry/Cafeteria,NotSpecified,10.0,1.0,4.0,600,0,1.0,40.0,85.0,12.0,24.0
industrial building,sale,sector 63 noida,28.620768,77.381494,75000000.0,10000.0,7500.0,Super Area,Ready to Move,2.5,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,NotSpecified,2.0,1.0,4.0,0,0,1.0,40.0,85.0,12.0,24.0
office space,sale,sector 22 dwarka new delhi,28.5579591,77.0580701,4500000.0,168.0,26785.71,Super Area,Ready to Move,-1.0,Not Specified,Unfurnished,Not Specified,East,Main Road,Not Specified,NotSpecified,2.0,1.0,4.0,0,0,1.0,40.0,85.0,12.0,24.0
industrial land,sale,phase 5 udyog vihar gurgaon,28.5048174,77.0839702,120000000.0,3402.0,35273.37,Plot Area,Ready to Move,-1.0,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,NotSpecified,2.0,1.0,4.0,0,0,1.0,40.0,85.0,12.0,24.0
shop,sale,sector 65 gurgaon,28.4030162,77.0695893,10000000.0,535.0,18691.59,Super Area,Ready to Move,2.5,Not Specified,Furnished,Not Specified,Not Specified,Not Specified,Not Specified,NotSpecified,2.0,2.0,22.0,0,0,1.0,40.0,85.0,12.0,24.0
shop,sale,sector 43 gurgaon,28.4548735,77.0858864,5500000.0,200.0,27500.0,Super Area,Ready to Move,-1.0,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,NotSpecified,2.0,0.0,1.0,0,0,1.0,40.0,85.0,12.0,24.0
office space,sale,sector 67 gurgaon,28.3864052,77.0598046,3400000.0,210.0,16190.48,Carpet Area,Ready to Move,0.0,Not Specified,Unfurnished,Not Specified,Not Specified,Not Specified,Not Specified,NotSpecified,1.0,11.0,12.0,0,0,1.0,40.0,85.0,12.0,24.0
shop,sale,sector 143 faridabad,28.3209245,77.2981096,5600000.0,187.0,29946.52,Carpet Area,Ready to Move,0.0,Not Specified,Unfurnished,Not Specified,Not Specified,Not Specified,Not Specified,NotSpecified,2.0,1.0,3.0,0,0,1.0,40.0,85.0,11.0,24.0
industrial building,sale,sector 4 noida,28.5836826,77.3229658,88500000.0,4400.0,20113.64,Super Area,Ready to Move,7.5,Not Specified,Not Specified,Industrial,Not Specified,Not Specified,Not Specified,NotSpecified,2.0,1.0,4.0,0,0,1.0,40.0,85.0,12.0,24.0
office space,sale,noida sector 18 metro noida,28.5705631,77.3266184,13500000.0,662.0,20392.75,Carpet Area,Ready to Move,-1.0,Not Specified,Not Specified,Not Specified,Not Specified,Main Road,Wet Pantry/Cafeteria,NotSpecified,2.0,1.0,4.0,0,2,1.0,40.0,85.0,12.0,24.0
shop,sale,dadri road noida,28.5566273,77.3257596,17400000.0,184.0,94565.22,Carpet Area,Ready to Move,0.0,Not Specified,Unfurnished,Not Specified,Not Specified,Not Specified,Not Specified,NotSpecified,2.0,0.0,1.0,0,0,1.0,40.0,85.0,20.0,24.0
industrial land,sale,rohini new delhi,28.719436,77.0672351,85000000.0,4725.0,17989.42,Plot Area,Ready to Move,-1.0,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,NotSpecified,2.0,1.0,4.0,0,0,1.0,40.0,85.0,12.0,24.0
industrial building,sale,block b sector 4 noida,28.4707522,77.5319152,750000000.0,8000.0,93750.0,Super Area,Ready to Move,7.5,Not Specified,Not Specified,Industrial,Not Specified,Not Specified,Not Specified,NotSpecified,2.0,1.0,4.0,0,0,1.0,40.0,85.0,12.0,24.0
office space,sale,noida extension greater noida,28.5706333,77.3272147,6090000.0,1107.0,5501.36,Super Area,Under Construction,-1.0,Jun '26,Not Specified,Not Specified,Not Specified,Pool,Dry Pantry/Cafeteria,NotSpecified,4.0,12.0,32.0,0,0,1.0,40.0,85.0,12.0,24.0
shop,sale,sohna gurgaon,28.3241636,77.0848644,9000000.0,510.0,17647.06,Carpet Area,Ready to Move,12.5,Not Specified,Unfurnished,Not Specified,Not Specified,Not Specified,Not Specified,NotSpecified,2.0,1.0,6.0,0,0,1.0,40.0,85.0,15.0,24.0
land,sale,noida express way noida,28.5706333,77.3272147,70000000.0,3150.0,22222.22,Plot Area,Ready to Move,-1.0,Not Specified,Not Specified,Commercial,North - East,Not Specified,Not Specified,NotSpecified,2.0,1.0,4.0,0,0,1.0,19.8,159.0,12.0,24.0
office in it park/ sez,sale,noida express way noida,28.5706333,77.3272147,10000000.0,600.0,16666.67,Carpet Area,Ready to Move,-1.0,Not Specified,Not Specified,Not Specified,East,Not Specified,Dry Pantry/Cafeteria,NotSpecified,2.0,1.0,4.0,1,0,1.0,40.0,85.0,12.0,24.0
office space,sale,sector 48 gurgaon,28.4104903,77.0394627,10000000.0,800.0,12500.0,Carpet Area,Ready to Move,-1.0,Not Specified,Not Specified,Not Specified,East,Not Specified,Wet Pantry/Cafeteria,NotSpecified,9.0,1.0,4.0,0,6,1.0,40.0,85.0,12.0,24.0
land,sale,noida express way noida,28.5706333,77.3272147,10200000.0,4306.0,2368.79,Plot Area,Ready to Move,-1.0,Not Specified,Not Specified,Not Specified,North - East,Not Specified,Not Specified,NotSpecified,2.0,1.0,4.0,0,0,1.0,98.4,43.7,12.0,24.0
office space,sale,sector 49 gurgaon,28.4128851,77.0498362,8800000.0,1200.0,7333.33,Carpet Area,Ready to Move,-1.0,Not Specified,Not Specified,Not Specified,East,Not Specified,Wet Pantry/Cafeteria,NotSpecified,6.0,1.0,4.0,2,0,1.0,40.0,85.0,12.0,24.0
shop,sale,splendor onyx noida,28.5706333,77.3272147,900000.0,200.0,4500.0,Carpet Area,Under Construction,-1.0,Jun '27,Semi-Furnished,Not Specified,North - East,Not Specified,Not Specified,NotSpecified,2.0,1.0,19.0,0,0,1.0,40.0,85.0,12.0,24.0
industrial building,sale,b block sector 63 noida,28.6197533,77.3703883,185000000.0,10763.9,17187.08,Super Area,Ready to Move,2.5,Not Specified,Not Specified,Industrial,Not Specified,Not Specified,Not Specified,NotSpecified,2.0,1.0,4.0,0,0,1.0,40.0,85.0,12.0,24.0
office space,sale,okhla phase 1 new delhi,28.5470861,77.3135343,44500000.0,3200.0,13906.25,Carpet Area,Ready to Move,-1.0,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Wet Pantry/Cafeteria,NotSpecified,2.0,4.0,8.0,0,2,1.0,40.0,85.0,12.0,24.0
shop,sale,nai walan new delhi,28.6328027,77.2197713,75000000.0,1700.0,44117.65,Carpet Area,Ready to Move,0.0,Not Specified,Unfurnished,Not Specified,Not Specified,Not Specified,Not Specified,NotSpecified,2.0,0.0,5.0,0,0,1.0,40.0,85.0,8.0,24.0
shop,sale,tigaon faridabad,28.3508902,77.3965287,3000000.0,360.0,8333.33,Super Area,Ready to Move,-1.0,Not Specified,Semi-Furnished,Not Specified,Not Specified,Not Specified,Not Specified,NotSpecified,2.0,0.0,2.0,0,0,1.0,40.0,85.0,12.0,24.0
shop,sale,laxmi nagar new delhi,28.576794,77.2062778,2600000.0,80.0,32500.0,Carpet Area,Ready to Move,2.5,Not Specified,Unfurnished,Not Specified,Not Specified,Not Specified,Not Specified,NotSpecified,2.0,0.0,4.0,0,0,1.0,40.0,85.0,12.0,24.0
land,sale,chander vihar nilothi new delhi,28.6328027,77.2197713,130000.0,625.0,208.0,Plot Area,Ready to Move,-1.0,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,NotSpecified,2.0,1.0,4.0,0,0,1.0,40.0,85.0,12.0,24.0
land,sale,old palam road new delhi,28.5777707,77.1036096,34000000.0,1197.0,28404.34,Plot Area,Ready to Move,-1.0,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,NotSpecified,2.0,1.0,4.0,0,0,1.0,40.0,85.0,12.0,24.0
office space,sale,greater noida west noida,28.5642539,77.4739447,3000000.0,440.0,6818.18,Super Area,Ready to Move,0.0,Not Specified,Unfurnished,Not Specified,Not Specified,Not Specified,Wet Pantry/Cafeteria,NotSpecified,2.0,2.0,2.0,0,0,1.0,40.0,85.0,12.0,24.0
industrial shed,sale,noida express way noida,28.5706333,77.3272147,67500000.0,4843.76,13935.46,Super Area,Ready to Move,7.5,Not Specified,Not Specified,Industrial,Not Specified,Not Specified,Not Specified,NotSpecified,2.0,1.0,4.0,0,0,1.0,40.0,85.0,12.0,24.0
office space,sale,phase 1 udyog vihar gurgaon,28.5048174,77.0839702,3500000000.0,400000.0,8750.0,Super Area,Ready to Move,-1.0,Not Specified,Not Specified,Not Specified,Not Specified,Garden/Park,Wet Pantry/Cafeteria,NotSpecified,10.0,1.0,4.0,600,0,1.0,40.0,85.0,12.0,24.0
industrial building,sale,sector 63 noida,28.620768,77.381494,75000000.0,10000.0,7500.0,Super Area,Ready to Move,2.5,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,NotSpecified,2.0,1.0,4.0,0,0,1.0,40.0,85.0,12.0,24.0
office space,sale,sector 22 dwarka new delhi,28.5579591,77.0580701,4500000.0,168.0,26785.71,Super Area,Ready to Move,-1.0,Not Specified,Unfurnished,Not Specified,East,Main Road,Not Specified,NotSpecified,2.0,1.0,4.0,0,0,1.0,40.0,85.0,12.0,24.0
industrial land,sale,phase 5 udyog vihar gurgaon,28.5048174,77.0839702,120000000.0,3402.0,35273.37,Plot Area,Ready to Move,-1.0,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,NotSpecified,2.0,1.0,4.0,0,0,1.0,40.0,85.0,12.0,24.0
shop,sale,sector 65 gurgaon,28.4030162,77.0695893,10000000.0,535.0,18691.59,Super Area,Ready to Move,2.5,Not Specified,Furnished,Not Specified,Not Specified,Not Specified,Not Specified,NotSpecified,2.0,2.0,22.0,0,0,1.0,40.0,85.0,12.0,24.0
shop,sale,sector 43 gurgaon,28.4548735,77.0858864,5500000.0,200.0,27500.0,Super Area,Ready to Move,-1.0,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,NotSpecified,2.0,0.0,1.0,0,0,1.0,40.0,85.0,12.0,24.0
office space,sale,sector 67 gurgaon,28.3864052,77.0598046,3400000.0,210.0,16190.48,Carpet Area,Ready to Move,0.0,Not Specified,Unfurnished,Not Specified,Not Specified,Not Specified,Not Specified,NotSpecified,1.0,11.0,12.0,0,0,1.0,40.0,85.0,12.0,24.0
shop,sale,sector 143 faridabad,28.3209245,77.2981096,5600000.0,187.0,29946.52,Carpet Area,Ready to Move,0.0,Not Specified,Unfurnished,Not Specified,Not Specified,Not Specified,Not Specified,NotSpecified,2.0,1.0,3.0,0,0,1.0,40.0,85.0,11.0,24.0
industrial building,sale,sector 4 noida,28.5836826,77.3229658,88500000.0,4400.0,20113.64,Super Area,Ready to Move,7.5,Not Specified,Not Specified,Industrial,Not Specified,Not Specified,Not Specified,NotSpecified,2.0,1.0,4.0,0,0,1.0,40.0,85.0,12.0,24.0
office space,sale,noida sector 18 metro noida,28.5705631,77.3266184,13500000.0,662.0,20392.75,Carpet Area,Ready to Move,-1.0,Not Specified,Not Specified,Not Specified,Not Specified,Main Road,Wet Pantry/Cafeteria,NotSpecified,2.0,1.0,4.0,0,2,1.0,40.0,85.0,12.0,24.0
shop,sale,dadri road noida,28.5566273,77.3257596,17400000.0,184.0,94565.22,Carpet Area,Ready to Move,0.0,Not Specified,Unfurnished,Not Specified,Not Specified,Not Specified,Not Specified,NotSpecified,2.0,0.0,1.0,0,0,1.0,40.0,85.0,20.0,24.0
industrial land,sale,rohini new delhi,28.719436,77.0672351,85000000.0,4725.0,17989.42,Plot Area,Ready to Move,-1.0,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,NotSpecified,2.0,1.0,4.0,0,0,1.0,40.0,85.0,12.0,24.0
industrial building,sale,block b sector 4 noida,28.4707522,77.5319152,750000000.0,8000.0,93750.0,Super Area,Ready to Move,7.5,Not Specified,Not Specified,Industrial,Not Specified,Not Specified,Not Specified,NotSpecified,2.0,1.0,4.0,0,0,1.0,40.0,85.0,12.0,24.0
office space,sale,noida extension greater noida,28.5706333,77.3272147,6090000.0,1107.0,5501.36,Super Area,Under Construction,-1.0,Jun '26,Not Specified,Not Specified,Not Specified,Pool,Dry Pantry/Cafeteria,NotSpecified,4.0,12.0,32.0,0,0,1.0,40.0,85.0,12.0,24.0
shop,sale,sohna gurgaon,28.3241636,77.0848644,9000000.0,510.0,17647.06,Carpet Area,Ready to Move,12.5,Not Specified,Unfurnished,Not Specified,Not Specified,Not Specified,Not Specified,NotSpecified,2.0,1.0,6.0,0,0,1.0,40.0,85.0,15.0,24.0
land,sale,noida express way noida,28.5706333,77.3272147,70000000.0,3150.0,22222.22,Plot Area,Ready to Move,-1.0,Not Specified,Not Specified,Commercial,North - East,Not Specified,Not Specified,NotSpecified,2.0,1.0,4.0,0,0,1.0,19.8,159.0,12.0,24.0
office in it park/ sez,sale,noida express way noida,28.5706333,77.3272147,10000000.0,600.0,16666.67,Carpet Area,Ready to Move,-1.0,Not Specified,Not Specified,Not Specified,East,Not Specified,Dry Pantry/Cafeteria,NotSpecified,2.0,1.0,4.0,1,0,1.0,40.0,85.0,12.0,24.0
office space,sale,sector 48 gurgaon,28.4104903,77.0394627,10000000.0,800.0,12500.0,Carpet Area,Ready to Move,-1.0,Not Specified,Not Specified,Not Specified,East,Not Specified,Wet Pantry/Cafeteria,NotSpecified,9.0,1.0,4.0,0,6,1.0,40.0,85.0,12.0,24.0
land,sale,noida express way noida,28.5706333,77.3272147,10200000.0,4306.0,2368.79,Plot Area,Ready to Move,-1.0,Not Specified,Not Specified,Not Specified,North - East,Not Specified,Not Specified,NotSpecified,2.0,1.0,4.0,0,0,1.0,98.4,43.7,12.0,24.0
office space,sale,sector 49 gurgaon,28.4128851,77.0498362,8800000.0,1200.0,7333.33,Carpet Area,Ready to Move,-1.0,Not Specified,Not Specified,Not Specified,East,Not Specified,Wet Pantry/Cafeteria,NotSpecified,6.0,1.0,4.0,2,0,1.0,40.0,85.0,12.0,24.0
shop,sale,splendor onyx noida,28.5706333,77.3272147,900000.0,200.0,4500.0,Carpet Area,Under Construction,-1.0,Jun '27,Semi-Furnished,Not Specified,North - East,Not Specified,Not Specified,NotSpecified,2.0,1.0,19.0,0,0,1.0,40.0,85.0,12.0,24.0
industrial building,sale,b block sector 63 noida,28.6197533,77.3703883,185000000.0,10763.9,17187.08,Super Area,Ready to Move,2.5,Not Specified,Not Specified,Industrial,Not Specified,Not Specified,Not Specified,NotSpecified,2.0,1.0,4.0,0,0,1.0,40.0,85.0,12.0,24.0
office space,sale,okhla phase 1 new delhi,28.5470861,77.3135343,44500000.0,3200.0,13906.25,Carpet Area,Ready to Move,-1.0,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Wet Pantry/Cafeteria,NotSpecified,2.0,4.0,8.0,0,2,1.0,40.0,85.0,12.0,24.0
shop,sale,nai walan new delhi,28.6328027,77.2197713,75000000.0,1700.0,44117.65,Carpet Area,Ready to Move,0.0,Not Specified,Unfurnished,Not Specified,Not Specified,Not Specified,Not Specified,NotSpecified,2.0,0.0,5.0,0,0,1.0,40.0,85.0,8.0,24.0
shop,sale,tigaon faridabad,28.3508902,77.3965287,3000000.0,360.0,8333.33,Super Area,Ready to Move,-1.0,Not Specified,Semi-Furnished,Not Specified,Not Specified,Not Specified,Not Specified,NotSpecified,2.0,0.0,2.0,0,0,1.0,40.0,85.0,12.0,24.0
shop,sale,laxmi nagar new delhi,28.576794,77.2062778,2600000.0,80.0,32500.0,Carpet Area,Ready to Move,2.5,Not Specified,Unfurnished,Not Specified,Not Specified,Not Specified,Not Specified,NotSpecified,2.0,0.0,4.0,0,0,1.0,40.0,85.0,12.0,24.0
land,sale,chander vihar nilothi new delhi,28.6328027,77.2197713,130000.0,625.0,208.0,Plot Area,Ready to Move,-1.0,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,NotSpecified,2.0,1.0,4.0,0,0,1.0,40.0,85.0,12.0,24.0
land,sale,old palam road new delhi,28.5777707,77.1036096,34000000.0,1197.0,28404.34,Plot Area,Ready to Move,-1.0,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,NotSpecified,2.0,1.0,4.0,0,0,1.0,40.0,85.0,12.0,24.0
office space,sale,greater noida west noida,28.5642539,77.4739447,3000000.0,440.0,6818.18,Super Area,Ready to Move,0.0,Not Specified,Unfurnished,Not Specified,Not Specified,Not Specified,Wet Pantry/Cafeteria,NotSpecified,2.0,2.0,2.0,0,0,1.0,40.0,85.0,12.0,24.0
industrial shed,sale,noida express way noida,28.5706333,77.3272147,67500000.0,4843.76,13935.46,Super Area,Ready to Move,7.5,Not Specified,Not Specified,Industrial,Not Specified,Not Specified,Not Specified,NotSpecified,2.0,1.0,4.0,0,0,1.0,40.0,85.0,12.0,24.0
office space,sale,phase 1 udyog vihar gurgaon,28.5048174,77.0839702,3500000000.0,400000.0,8750.0,Super Area,Ready to Move,-1.0,Not Specified,Not Specified,Not Specified,Not Specified,Garden/Park,Wet Pantry/Cafeteria,NotSpecified,10.0,1.0,4.0,600,0,1.0,40.0,85.0,12.0,24.0
industrial building,sale,sector 63 noida,28.620768,77.381494,75000000.0,10000.0,7500.0,Super Area,Ready to Move,2.5,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,NotSpecified,2.0,1.0,4.0,0,0,1.0,40.0,85.0,12.0,24.0
office space,sale,sector 22 dwarka new delhi,28.5579591,77.0580701,4500000.0,168.0,26785.71,Super Area,Ready to Move,-1.0,Not Specified,Unfurnished,Not Specified,East,Main Road,Not Specified,NotSpecified,2.0,1.0,4.0,0,0,1.0,40.0,85.0,12.0,24.0
industrial land,sale,phase 5 udyog vihar gurgaon,28.5048174,77.0839702,120000000.0,3402.0,35273.37,Plot Area,Ready to Move,-1.0,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,NotSpecified,2.0,1.0,4.0,0,0,1.0,40.0,85.0,12.0,24.0
